datalen,ethlen,sendframe,sendbytes,sendmbps,recvframe,recvbytes,recvmbps
128,170,69958,8954624,7.1636992,69957,8954496,7.1635968
128,170,69949,8953472,7.1627776,69948,8953344,7.1626752
128,170,69957,8954496,7.1635968,69956,8954368,7.1634944
256,298,23184,5935104,4.7480832,23183,5934848,4.7478784
256,298,69559,17807104,14.2456832,69558,17806848,14.2454784
256,298,54097,13848832,11.0790656,54096,13848576,11.0788608
256,298,69546,17803776,14.2430208,69545,17803520,14.242816
256,298,69549,17804544,14.2436352,69548,17804288,14.2434304
384,426,46151,17721984,14.1775872,46150,17721600,14.17728
384,426,69225,26582400,21.26592,69224,26582016,21.2656128
384,426,69222,26581248,21.2649984,69221,26580864,21.2646912
384,426,69230,26584320,21.267456,69229,26583936,21.2671488
512,554,68869,35260928,28.2087424,68868,35260416,28.2083328
512,554,68870,35261440,28.209152,68869,35260928,28.2087424
512,554,68867,35259904,28.2079232,68866,35259392,28.2075136
640,682,68548,43870720,35.096576,68547,43870080,35.096064
640,682,68562,43879680,35.103744,68561,43879040,35.103232
640,682,68568,43883520,35.106816,68567,43882880,35.106304
768,810,68065,52273920,41.819136,68064,52273152,41.8185216
768,810,45389,34858752,27.8870016,45388,34857984,27.8863872
768,810,60573,46520064,37.2160512,60572,46519296,37.2154368
768,810,68062,52271616,41.8172928,68061,52270848,41.8166784
896,938,59877,53649792,42.9198336,59876,53648896,42.9191168
896,938,67357,60351872,48.2814976,67356,60350976,48.2807808
896,938,67355,60350080,48.280064,67354,60349184,48.2793472
1024,1066,66953,68559872,54.8478976,66952,68558848,54.8470784
1024,1066,66950,68556800,54.84544,66949,68555776,54.8446208
1024,1066,66948,68554752,54.8438016,66947,68553728,54.8429824
1280,1322,66280,84838400,67.87072,62279,79717120,63.773696
1280,1322,66308,84874240,67.899392,63307,81032960,64.826368
1280,1322,66310,84876800,67.90144,66309,84875520,67.900416
1408,1450,66116,93091328,74.4730624,66115,93089920,74.471936
1408,1450,66110,93082880,74.466304,66109,93081472,74.4651776
1408,1450,58789,82774912,66.2199296,58788,82773504,66.2188032
1408,1450,66129,93109632,74.4877056,66128,93108224,74.4865792
1500,1542,3014422,4521633000,3617.3064,0,0,0
1536,1578,3004023,4614179328,3691.343462,0,0,0
