ethlen,sendframe,sendbytes,sendmbps,recvframe,recvbytes,recvmbps,losspack
60,4068964,244137840,195.31,4068770,240923280,192.738624,53894
60,4070191,244211460,195.37,4069997,227682300,182.14584,275292
60,4066372,243982320,195.19,4066175,243043440,194.434752,15963
128,4002125,512272000,409.82,4001930,512012800,409.61,2342
128,4000024,512003072,409.6,3999829,472775936,378.220749,306777
128,4001778,512227584,409.78,4001582,385601408,308.481126,989071
256,3397507,869761792,695.81,3397302,855803648,684.642918,54831
256,3400404,870503424,696.4,3400199,866065920,692.852736,17641
256,3397722,869816832,695.85,3397517,847191552,677.753242,88175
256,3396624,869535744,695.63,3396419,858188032,686.550426,44634
384,2426721,1176552192,941.24,3063728,1175569536,940.455629,2861
384,2425761,1176552192,941.24,3063728,1164467712,931.57417,31772
384,2428322,1176551808,941.24,3063727,1175302272,940.241818,3556
512,4293168217,1194144256,955.32,2332092,1183878144,947.102515,20342
512,,1194144256,955.32,2332092,1188391936,950.713549,11526
512,,1194144256,955.32,2332092,1193030144,954.424115,2467
768,,1212301056,969.84,1578285,1211887872,969.510298,818
768,,1212301056,969.84,1578285,1209328128,967.462502,4151
768,,121230156,969.84,1578285,1203842304,963.073843,11294
1024,,1221619712,977.3,1192750,1210851328,968.681062,10790
1024,1.84E+19,1221619712,977.3,1192750,1221059584,976.847667,821
1024,,1221620736,977.3,1192751,1221527552,977.222042,365
1024,,1221619712,977.3,1192750,1215496192,972.396954,6254
1280,,1227306240,981.84,958591,1218147840,974.518272,7425
1280,,1227306240,981.84,958591,1219252480,975.401984,6592
1408,,1229395200,983.52,872907,1218859136,975.087309,7752
1500,,1230684000,984.55,820212,1224610500,979.688400 ,4317
1536,,1231147008,984.92,801284,1220909568,976.727654,6933
