ethlen,sendframe,sendbytes,sendmbps,recvframe,recvbytes,recvmbps,losspack
60,2306076,138364560,110.69,2306076,138364560,110.69,0
60,2307599,138455940,110.76,2307599,138455940,110.76,0
60,2410432,144625920,115.7,2410432,144625920,115.7,0
128,2243886,287217408,229.77,2243886,287217408,229.77,0
128,2322690,297304320,237.84,2322690,297304320,237.84,0
128,2260693,289368704,231.49,2260693,289368704,231.49,0
256,2152891,551140096,440.91,2152891,551140096,440.91,0
256,2145718,549303808,439.44,2093635,535970560,428.78,52083
256,2309061,591119616,472.9,2229998,570879488,456.7,79063
256,2250407,576104192,460.88,2250407,576104192,460.88,0
256,2258154,578087424,462.47,2258154,578087424,462.47,0
256,2227628,570272768,456.22,2175453,556915968,445.53,52175
256,2260067,578577152,462.86,2066855,529114880,423.29,185529
512,1993645,1020746240,816.6,1993645,1020746240,816.6,0
512,1295925,663513600,530.81,1295925,663513600,530.81,0
512,2123089,1087021568,869.62,2090647,1070411264,856.32,32442
1024,1098287,1124645888,899.72,1098287,1124645888,899.72,0
1024,1128638,1155725312,924.58,1113083,1139796992,911.84,15555
1024,1097126,1123457024,898.77,1081444,1107398656,885.92,15682
1024,1076115,1101941760,881.55,949117,1088939008,871.15,126998
1024,1084544,1110573056,888.46,1071852,1097576448,878.06,12692
1280,886146,1134266880,907.41,886146,1134266880,907.41,0
1280,940576,1203937280,963.15,929757,1190088960,952.07,10819
1280,928781,1188839680,951.07,918574,1175774720,940.62,10207
1280,930307,1190792960,952.63,930307,1190792960,952.63,0
1408,843264,1187315712,949.85,843264,1187315712,949.85,0
1500,775169,1162753500,930.2,763732,1145598000,916.48,11437
1500,819345,1229017500,983.21,819345,1229017500,983.21,0
1500,772581,1158871500,927.1,763241,1158871500,915.89,9340
