单包大小/Byte,传送延迟nanos,平均带宽/MBps
64,0,72.73
128,0,84.21
128,0,84.21
192,0,88.89
256,0,91.43
320,0,93.03
369,0,93.9
373,0,93.96
375,0,94.3
376,0,0
384,0,0
448,0,0
512,0,0
576,0,0
640,0,0
704,0,0
768,0,0
832,0,0
896,0,0
960,0,0
1024,0,0
128,1000,84.21
128,2000,84.21
128,3000,84.21
128,4000,84.21
128,5000,84.21
128,6000,84.21
128,7000,84.21
128,8000,84.21
128,9000,84.21
192,0,88.89
256,0,91.43
320,0,93.03
369,0,93.9
373,0,93.96
375,0,94.3
376,0,0
384,0,0
448,0,0
512,0,0
576,0,0
640,0,0
704,0,0
768,0,0
832,0,0
896,0,0
960,0,0
1024,0,0
128,1000,84.21
128,2000,84.21
128,3000,84.21
128,4000,84.21
128,5000,84.21
128,6000,84.21
128,7000,84.21
128,8000,84.21
128,9000,84.21
